grupo,path,created,age,sessions,pv,impr,clicks_gsc,cat,title,file
A-muerta,/comparar/cursor-vs-windsurf-vs-claude-code-vs-aider-coding,2026-04-27,89,0,0,0,0,tecnologia,Cursor vs Windsurf vs Claude Code vs Aider 2026 | Hacé Cuentas,src/content/comparaciones/cursor-vs-windsurf-vs-claude-code-vs-aider-coding.json
A-muerta,/comparar/hipoteca-uva-vs-tradicional,2026-04-27,89,0,0,0,0,finanzas,Hipoteca UVA vs Tasa Fija 2026: cuál conviene | Hacé Cuentas,src/content/comparaciones/hipoteca-uva-vs-tradicional.json
A-muerta,/comparar/imc-vs-grasa-corporal-vs-cintura-cadera-vs-bia,2026-04-27,89,0,0,0,0,salud,IMC vs % Grasa vs Cintura/Cadera vs BIA 2026 | Hacé Cuentas,src/content/comparaciones/imc-vs-grasa-corporal-vs-cintura-cadera-vs-bia.json
A-muerta,/comparar/panel-solar-monocristalino-vs-policristalino-vs-thin-film,2026-04-27,89,0,0,0,0,construccion,Panel Solar Mono vs Poli vs Thin-Film 2026 | Hacé Cuentas,src/content/comparaciones/panel-solar-monocristalino-vs-policristalino-vs-thin-film.json
A-muerta,/comparar/rentaria-vs-airbnb-vs-tradicional-alquiler,2026-04-27,89,0,0,0,0,finanzas,Alquiler Tradicional vs Airbnb vs Renta Diaria 2026 | Hacé Cuentas,src/content/comparaciones/rentaria-vs-airbnb-vs-tradicional-alquiler.json
A-muerta,/en/hotel-split-cost-calculator,2026-04-28,88,0,0,0,0,viajes,How to Split a Hotel Bill: Calculator + Table | Hacé Cuentas,src/content/calcs-en/hotel-split-cost-calculator.json
A-muerta,/en/overtime-pay-calculator,2026-06-05,50,0,0,0,0,finanzas,Overtime Pay Calculator: Time and a Half + Table | Hacé Cuentas,src/content/calcs-en/overtime-pay-calculator.json
A-muerta,/en/unit-converter,2026-06-05,50,0,0,0,0,matematica,"Unit Converter: miles to km, kg to lb, °C to °F + tables | Hacé Cuenta",src/content/calcs-en/unit-converter.json
A-muerta,/co/calculadora-costo-real-pauta-exterior-impuestos-colombia,2026-06-14,41,0,0,0,0,negocios,Costo real de pauta del exterior — Colombia 2026,src/content/calcs-co/calculadora-costo-real-pauta-exterior-impuestos-colombia.json
A-muerta,/pe/calculadora-retiro-cts-desempleo-peru,2026-06-15,40,0,0,0,0,familia,Retiro CTS por Desempleo Perú 2026: ¿Cuánto Puedo Retirar? | Hacé Cuen,src/content/calcs-pe/retiro-cts-desempleo-peru.json
A-muerta,/pe/calculadora-tarjeta-credito-pago-minimo-peru,2026-06-15,40,0,0,0,0,finanzas,Pago Mínimo Tarjeta de Crédito Perú 2026: ¿Cuánto Pagarás en Total? | ,src/content/calcs-pe/tarjeta-credito-pago-minimo-peru.json
A-muerta,/dolar-hoy-paraguay,2026-06-21,34,0,0,0,0,finanzas,Dólar Hoy Paraguay 2026: Cotización Guaraní (USD/PYG) | Hacé Cuentas,src/content/calcs-py/dolar-hoy-paraguay.json
A-muerta,/pt/calculadora-goose-agente-ia-vs-operario-humano-custo,2026-06-21,34,0,0,0,0,tecnologia,Goose × operário: quanto custa um agente de IA vs um funcionário CLT (,src/content/calcs-pt/calculadora-goose-agente-ia-vs-operario-humano-custo.json
A-muerta,/py/calculadora-costo-vida-paraguay,2026-06-21,34,0,0,0,0,finanzas,Calculadora de Costo de Vida Paraguay 2026 | Hacé Cuentas,src/content/calcs-py/calculadora-costo-vida-paraguay.json
A-muerta,/py/costo-laboral-empleador-paraguay,2026-06-21,34,0,0,0,0,finanzas,Calculadora de Costo Laboral del Empleador Paraguay 2026 | Hacé Cuenta,src/content/calcs-py/costo-laboral-empleador-paraguay.json
A-muerta,/py/cuanto-es-en-guaranies-real-brasileno,2026-06-21,34,0,0,0,0,finanzas,Cuánto es X reales en guaraníes hoy (real a guaraní) | Hacé Cuentas,src/content/calcs-py/cuanto-es-en-guaranies-real-brasileno.json
A-muerta,/py/idu-dividendos-paraguay,2026-06-21,34,0,0,0,0,impuestos,Calculadora de IDU Paraguay (impuesto a dividendos 8%) | Hacé Cuentas,src/content/calcs-py/idu-dividendos-paraguay.json
A-muerta,/ve/calculadora-iva-venezuela-16,2026-06-21,34,0,0,0,0,impuestos,"IVA Venezuela 16%: Calcular, Agregar y Sacar IVA | Hacé Cuentas",src/content/calcs-ve/calculadora-iva-venezuela-16.json
A-muerta,/ve/cuanto-cuesta-llenar-tanque-gasolina-venezuela,2026-06-21,34,0,0,0,0,vida,Cuánto Cuesta Llenar el Tanque de Gasolina en Venezuela 2026 | Hacé Cu,src/content/calcs-ve/cuanto-cuesta-llenar-tanque-gasolina-venezuela.json
A-muerta,/do/calculadora-remesas-estados-unidos-republica-dominicana,2026-06-22,33,0,0,0,0,finanzas,Calculadora de Remesas USA → República Dominicana 2026 | Hacé Cuentas,src/content/calcs-do/calculadora-remesas-estados-unidos-republica-dominicana.json
A-muerta,/dolar-hoy-uruguay,2026-06-22,33,0,0,0,0,finanzas,Dólar Hoy Uruguay 2026: Cotización USD a Pesos (USD/UYU) | Hacé Cuenta,src/content/calcs-uy/dolar-hoy-uruguay.json
A-muerta,/pt-pt/calculadora-compensacao-despedimento-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora de Compensação por Despedimento Portugal 2026 | Hacé Cuent,src/content/calcs-pt-pt/calculadora-compensacao-despedimento-portugal.json
A-muerta,/pt-pt/calculadora-custo-trabalhador-entidade-empregadora-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora do Custo de um Trabalhador para a Empresa Portugal 2026 | ,src/content/calcs-pt-pt/calculadora-custo-trabalhador-entidade-empregadora-portugal.json
A-muerta,/pt-pt/calculadora-horas-extraordinarias-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora de Horas Extraordinárias Portugal 2026 | Hacé Cuentas,src/content/calcs-pt-pt/calculadora-horas-extraordinarias-portugal.json
A-muerta,/pt-pt/calculadora-imt-compra-casa-portugal,2026-06-23,32,0,0,0,0,impuestos,Calculadora IMT 2026: Quanto Custa Comprar Casa em Portugal | Hacé Cue,src/content/calcs-pt-pt/calculadora-imt-compra-casa-portugal.json
A-muerta,/pt-pt/calculadora-irs-jovem-portugal,2026-06-23,32,0,0,0,0,impuestos,Calculadora IRS Jovem 2026 Portugal: Quanto Poupa | Hacé Cuentas,src/content/calcs-pt-pt/calculadora-irs-jovem-portugal.json
A-muerta,/pt-pt/calculadora-irs-portugal-2026,2026-06-23,32,0,0,0,0,impuestos,Calculadora IRS 2026 Portugal: Reembolso ou a Pagar | Hacé Cuentas,src/content/calcs-pt-pt/calculadora-irs-portugal-2026.json
A-muerta,/pt-pt/calculadora-iva-portugal,2026-06-23,32,0,0,0,0,impuestos,"Calculadora IVA Portugal 2026: 23%, 13% e 6% | Hacé Cuentas",src/content/calcs-pt-pt/calculadora-iva-portugal.json
A-muerta,/pt-pt/calculadora-mais-valias-venda-imovel-portugal,2026-06-23,32,0,0,0,0,impuestos,Calculadora de Mais-Valias na Venda de Imóvel Portugal 2026 | Hacé Cue,src/content/calcs-pt-pt/calculadora-mais-valias-venda-imovel-portugal.json
A-muerta,/pt-pt/calculadora-prestacao-credito-habitacao-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora da Prestação do Crédito Habitação Portugal 2026 | Hacé Cue,src/content/calcs-pt-pt/calculadora-prestacao-credito-habitacao-portugal.json
A-muerta,/pt-pt/calculadora-salario-anual-14-meses-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora Salário Anual 14 Meses Portugal 2026: Bruto e Líquido | Ha,src/content/calcs-pt-pt/calculadora-salario-anual-14-meses-portugal.json
A-muerta,/pt-pt/calculadora-subsidio-desemprego-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora de Subsídio de Desemprego Portugal 2026 | Hacé Cuentas,src/content/calcs-pt-pt/calculadora-subsidio-desemprego-portugal.json
A-muerta,/pt-pt/calculadora-subsidio-natal-portugal,2026-06-23,32,0,0,0,0,finanzas,Calculadora Subsídio de Natal Portugal 2026 (13.º): Bruto e Líquido | ,src/content/calcs-pt-pt/calculadora-subsidio-natal-portugal.json
A-muerta,/eclipse-solar-12-agosto-2026,2026-06-25,30,0,0,0,0,astronomia,Eclipse Solar 12 de Agosto 2026: Hora por Ciudad en España,src/content/calcs/eclipse-solar-12-agosto-2026.json
A-muerta,/calculadora-costo-aire-calefactor-toda-la-noche,2026-06-26,29,0,0,0,0,hogar,Costo de dejar el aire/calefactor toda la noche 2026 | Hacé Cuentas,src/content/calcs/calculadora-costo-aire-calefactor-toda-la-noche.json
A-muerta,/calculadora-gasto-cafe-anual,2026-06-26,29,0,0,0,0,finanzas,Cuánto gastás en café al año 2026 | Hacé Cuentas,src/content/calcs/calculadora-gasto-cafe-anual.json
A-muerta,/co/calculadora-aumento-salario-2026-colombia-cuanto-subio-mi-sueldo,2026-06-29,26,0,0,0,0,finanzas,¿Cuánto Subió mi Sueldo en 2026? Aumento Salarial Colombia | Hacé Cuen,src/content/calcs-co/calculadora-aumento-salario-2026-colombia-cuanto-subio-mi-sueldo.json
A-muerta,/co/calculadora-intereses-cesantias-colombia-enero-2026,2026-06-29,26,0,0,0,0,finanzas,Calculadora Intereses de Cesantías Colombia 2026 | 12% | Hacé Cuentas,src/content/calcs-co/calculadora-intereses-cesantias-colombia-enero-2026.json
A-muerta,/do/calculadora-despido-injustificado-republica-dominicana,2026-06-29,26,0,0,0,0,laboral,Despido injustificado RD 2026: indemnización Art. 95 | Hacé Cuentas,src/content/calcs-do/calculadora-despido-injustificado-republica-dominicana.json
A-muerta,/do/calculadora-marbete-republica-dominicana,2026-06-29,26,0,0,0,0,impuestos,Calculadora de marbete 2026 RD: cuánto pagar por placa | Hacé Cuentas,src/content/calcs-do/calculadora-marbete-republica-dominicana.json
A-muerta,/do/calculadora-prestamo-personal-republica-dominicana,2026-06-29,26,0,0,0,0,finanzas,Calculadora de préstamo personal RD 2026: cuota mensual | Hacé Cuentas,src/content/calcs-do/calculadora-prestamo-personal-republica-dominicana.json
A-muerta,/do/calculadora-traspaso-vehiculo-republica-dominicana,2026-06-29,26,0,0,0,0,impuestos,Impuesto de traspaso de vehículos RD 2026: 2% DGII | Hacé Cuentas,src/content/calcs-do/calculadora-traspaso-vehiculo-republica-dominicana.json
A-muerta,/ec/calculadora-decimos-mensualizado-vs-acumulado-ecuador,2026-06-29,26,0,0,0,0,laboral,Décimos Mensualizado o Acumulado Ecuador 2026 | Hacé Cuentas,src/content/calcs-ec/calculadora-decimos-mensualizado-vs-acumulado-ecuador.json
A-muerta,/ec/calculadora-ingreso-anual-total-decimos-ecuador,2026-06-29,26,0,0,0,0,finanzas,Cuánto Ganás al Año con Décimos Ecuador 2026 | Hacé Cuentas,src/content/calcs-ec/calculadora-ingreso-anual-total-decimos-ecuador.json
A-muerta,/ec/calculadora-salario-por-hora-ecuador,2026-06-29,26,0,0,0,0,laboral,Calculadora Salario por Hora Ecuador 2026 | Hacé Cuentas,src/content/calcs-ec/calculadora-salario-por-hora-ecuador.json
A-muerta,/ec/calculadora-utilidades-tope-iess-ecuador,2026-06-29,26,0,0,0,0,laboral,Utilidades: Tope y Excedente al IESS Ecuador 2026 | Hacé Cuentas,src/content/calcs-ec/calculadora-utilidades-tope-iess-ecuador.json
A-muerta,/mx/calculadora-aguinaldo-proporcional-renuncia-mexico,2026-06-29,26,0,0,0,0,laboral,Aguinaldo Proporcional por Renuncia 2026 | Hacé Cuentas,src/content/calcs-mx/calculadora-aguinaldo-proporcional-renuncia-mexico.json
A-muerta,/mx/calculadora-finiquito-vs-liquidacion-comparador-mexico,2026-06-29,26,0,0,0,0,laboral,Finiquito vs Liquidación: Comparador México 2026 | Hacé Cuentas,src/content/calcs-mx/calculadora-finiquito-vs-liquidacion-comparador-mexico.json
A-muerta,/mx/calculadora-prestamo-personal-mensualidad-cat-mexico,2026-06-29,26,0,0,0,0,finanzas,Calculadora Préstamo Personal México 2026 | Hacé Cuentas,src/content/calcs-mx/calculadora-prestamo-personal-mensualidad-cat-mexico.json
A-muerta,/pe/calculadora-aporte-onp-afp-independiente-peru,2026-06-29,26,0,0,0,0,laboral,Aporte ONP/AFP Independiente Perú 2026: cuánto pagar | Hacé Cuentas,src/content/calcs-pe/aporte-onp-afp-independiente-peru.json
A-muerta,/pe/calculadora-devolucion-renta-quinta-categoria-peru,2026-06-29,26,0,0,0,0,impuestos,Devolución 5ta Categoría Perú 2026: cuánto te devuelven | Hacé Cuentas,src/content/calcs-pe/calculadora-devolucion-renta-quinta-categoria-peru.json
A-muerta,/pe/calculadora-horas-extras-peru,2026-06-29,26,0,0,0,0,laboral,Calculadora de Horas Extras Perú 2026: 25% y 35% | Hacé Cuentas,src/content/calcs-pe/calculadora-horas-extras-peru.json
A-muerta,/py/calculadora-cuantos-salarios-minimos-paraguay,2026-06-29,26,0,0,0,0,laboral,¿Cuántos Salarios Mínimos Gano? Paraguay 2026 | Hacé Cuentas,src/content/calcs-py/calculadora-cuantos-salarios-minimos-paraguay.json
A-muerta,/py/calculadora-cuota-prestamo-paraguay,2026-06-29,26,0,0,0,0,finanzas,Calculadora de Cuota de Préstamo Paraguay | Hacé Cuentas,src/content/calcs-py/calculadora-cuota-prestamo-paraguay.json
A-muerta,/py/calculadora-finiquito-renuncia-paraguay,2026-06-29,26,0,0,0,0,laboral,Calculadora de Finiquito por Renuncia Paraguay 2026 | Hacé Cuentas,src/content/calcs-py/calculadora-finiquito-renuncia-paraguay.json
A-muerta,/uy/calculadora-aporte-patronal-uruguay,2026-06-29,26,0,0,0,0,laboral,Aporte Patronal Uruguay 2026: costo BPS del empleador | Hacé Cuentas,src/content/calcs-uy/calculadora-aporte-patronal-uruguay.json
A-muerta,/uy/calculadora-itp-uruguay,2026-06-29,26,0,0,0,0,finanzas,ITP Uruguay 2026: impuesto al comprar o vender casa | Hacé Cuentas,src/content/calcs-uy/calculadora-itp-uruguay.json
A-muerta,/uy/calculadora-subsidio-maternidad-uruguay,2026-06-29,26,0,0,0,0,laboral,Subsidio por Maternidad BPS Uruguay 2026: cuánto cobrás | Hacé Cuentas,src/content/calcs-uy/calculadora-subsidio-maternidad-uruguay.json
A-muerta,/ve/calculadora-precio-dolares-a-bolivares-bcv-venezuela,2026-06-29,26,0,0,0,0,finanzas,Convertir Precio de Dólares a Bolívares (BCV) | Hacé Cuentas,src/content/calcs-ve/calculadora-precio-dolares-a-bolivares-bcv-venezuela.json
A-muerta,/ve/calculadora-retroactivo-aumento-sueldo-venezuela,2026-06-29,26,0,0,0,0,laboral,Calculadora de Retroactivo por Aumento de Sueldo Venezuela | Hacé Cuen,src/content/calcs-ve/calculadora-retroactivo-aumento-sueldo-venezuela.json
A-muerta,/calculadora-cuanto-necesito-ganar-para-mantener-una-familia,2026-07-01,24,0,0,0,0,finanzas,¿Cuánto necesito ganar para mantener una familia? Calculadora 2026,src/content/calcs/cuanto-necesito-ganar-para-mantener-una-familia.json
A-muerta,/calculadora-fondo-asistencia-laboral-fal-ley-27802,2026-07-01,24,0,0,0,0,negocios,Calculadora FAL 2026: cuánto se paga al Fondo de Asistencia Laboral (L,src/content/calcs/fondo-asistencia-laboral-fal.json
A-muerta,/calculadora-que-sueldo-necesito-para-comprar-un-auto,2026-07-01,24,0,0,0,0,finanzas,¿Qué sueldo necesito para comprar un auto? Calculadora 2026,src/content/calcs/que-sueldo-necesito-para-comprar-un-auto.json
A-muerta,/calculadora-que-sueldo-necesito-para-sacar-un-credito,2026-07-01,24,0,0,0,0,finanzas,¿Qué sueldo necesito para sacar un crédito? Calculadora 2026,src/content/calcs/que-sueldo-necesito-para-sacar-un-credito.json
A-muerta,/tabla/tabla-peso-ideal-perros-por-raza,2026-07-02,23,0,0,0,0,mascotas,"Tabla de peso ideal de perros por raza: 20 razas, macho y hembra | Hac",src/content/tablas/tabla-peso-ideal-perros-por-raza.json
A-muerta,/calculadora-brochetas-por-invitado,2026-07-03,22,0,0,0,0,cocina,Calculadora de brochetas por invitado 2026 — ¿cuántas? | Hacé Cuentas,src/content/calcs/brochetas-por-invitado.json
A-muerta,/calculadora-cafe-para-evento,2026-07-03,22,0,0,0,0,cocina,Calculadora de café para evento 2026 — ¿cuánto preparar? | Hacé Cuenta,src/content/calcs/cafe-para-evento.json
A-muerta,/calculadora-costo-por-unidad,2026-07-03,22,0,0,0,0,negocios,Calculadora de costo por unidad 2026 — precio y margen | Hacé Cuentas,src/content/calcs/costo-por-unidad.json
A-muerta,/calculadora-facturas-por-persona-desayuno,2026-07-03,22,0,0,0,0,cocina,Calculadora facturas por persona: desayuno y merienda 2026,src/content/calcs/facturas-por-persona-desayuno.json
A-muerta,/calculadora-hielo-para-fiesta,2026-07-03,22,0,0,0,0,cocina,Calculadora de hielo para fiesta 2026 — ¿cuántos kg? | Hacé Cuentas,src/content/calcs/hielo-para-fiesta.json
A-muerta,/calculadora-mate-yerba-para-ronda,2026-07-03,22,0,0,0,0,cocina,Calculadora de yerba y agua para el mate 2026 | Hacé Cuentas,src/content/calcs/mate-yerba-para-ronda.json
A-muerta,/calculadora-operaciones-con-fracciones,2026-07-03,22,0,0,0,0,matematica,"Calculadora de fracciones 2026 — sumar, restar, multiplicar | Hacé Cue",src/content/calcs/operaciones-con-fracciones.json
A-muerta,/calculadora-pintura-pileta-piscina-m2,2026-07-03,22,0,0,0,0,construccion,Calculadora de pintura para pileta o piscina 2026 (m²) | Hacé Cuentas,src/content/calcs/pintura-pileta-piscina-m2.json
A-muerta,/calculadora-tiempo-viaje-con-paradas,2026-07-03,22,0,0,0,0,viajes,Calculadora de tiempo de viaje en auto con paradas 2026 | Hacé Cuentas,src/content/calcs/tiempo-viaje-con-paradas.json
A-muerta,/calculadora-vajilla-descartable-fiesta,2026-07-03,22,0,0,0,0,cocina,Calculadora de vajilla descartable para fiesta 2026 | Hacé Cuentas,src/content/calcs/vajilla-descartable-fiesta.json
A-muerta,/cl/calculadora-carne-asado-kg-por-persona-chile,2026-07-03,22,0,0,0,0,cocina,Calculadora de carne para asado por persona Chile 2026,src/content/calcs-cl/calculadora-carne-asado-kg-por-persona-chile.json
A-muerta,/cl/calculadora-cuanto-tarda-ver-serie-chile,2026-07-03,22,0,0,0,0,entretenimiento,Calculadora de Maratón de Serie — Chile 2026 (Tiempo para Ver),src/content/calcs-cl/calculadora-cuanto-tarda-ver-serie-chile.json
A-muerta,/cl/calculadora-dividir-gastos-cuenta-amigos-chile,2026-07-03,22,0,0,0,0,finanzas,Calculadora para dividir gastos entre amigos — Chile 2026,src/content/calcs-cl/calculadora-dividir-gastos-cuenta-amigos-chile.json
A-muerta,/cl/calculadora-edad-perro-anos-humanos-chile,2026-07-03,22,0,0,0,0,mascotas,Edad de Perro en Años Humanos según Tamaño — Chile 2026,src/content/calcs-cl/calculadora-edad-perro-anos-humanos-chile.json
A-muerta,/cl/conversor-tazas-a-gramos-cocina-chile,2026-07-03,22,0,0,0,0,cocina,Tazas a gramos por ingrediente — Chile 2026,src/content/calcs-cl/conversor-tazas-a-gramos-cocina-chile.json
A-muerta,/cl/decidir/cuanto-fondo-de-emergencia-necesito,2026-07-03,22,0,0,0,0,finanzas,¿Cuánto fondo de emergencia necesito? | Hacé Cuentas,src/content/comparaciones/cuanto-fondo-de-emergencia-necesito.json
A-muerta,/co/calculadora-bebidas-por-invitado-evento-colombia,2026-07-03,22,0,0,0,0,cocina,Calcular Bebida para Evento en Colombia 2026: Litros por Persona,src/content/calcs-co/calculadora-bebidas-por-invitado-evento-colombia.json
A-muerta,/co/calculadora-cuanto-tarda-ver-serie-colombia,2026-07-03,22,0,0,0,0,entretenimiento,Calculadora de cuánto tarda ver una serie — Colombia 2026,src/content/calcs-co/calculadora-cuanto-tarda-ver-serie-colombia.json
A-muerta,/co/calculadora-edad-perro-anos-humanos-colombia,2026-07-03,22,0,0,0,0,mascotas,Edad de Perro en Años Humanos según Tamaño — Colombia 2026 | Hacé Cuen,src/content/calcs-co/calculadora-edad-perro-anos-humanos-colombia.json
A-muerta,/co/conversor-tazas-a-gramos-cocina-colombia,2026-07-03,22,0,0,0,0,cocina,Tazas a Gramos Colombia: tabla de conversión por ingrediente | Hacé Cu,src/content/calcs-co/conversor-tazas-a-gramos-cocina-colombia.json
A-muerta,/co/decidir/cuanto-fondo-de-emergencia-necesito,2026-07-03,22,0,0,0,0,finanzas,¿Cuánto fondo de emergencia necesito? | Hacé Cuentas,src/content/comparaciones/cuanto-fondo-de-emergencia-necesito.json
A-muerta,/comparar/cuanta-comida-comprar-reunion,2026-07-03,22,0,0,0,0,cocina,Cuánta Comida Comprar para una Reunión: guía por nivel | Hacé Cuentas,src/content/comparaciones/cuanta-comida-comprar-reunion.json
A-muerta,/comparar/cuanto-ahorrar-antes-compra-grande,2026-07-03,22,0,0,0,0,finanzas,¿Ahorrar o financiar una compra grande? | Hacé Cuentas,src/content/comparaciones/cuanto-ahorrar-antes-compra-grande.json
A-muerta,/comparar/cuanto-fondo-de-emergencia-necesito,2026-07-03,22,0,0,0,0,finanzas,¿Cuánto fondo de emergencia necesito? | Hacé Cuentas,src/content/comparaciones/cuanto-fondo-de-emergencia-necesito.json
A-muerta,/comparar/cuanto-gastar-por-invitado,2026-07-03,22,0,0,0,0,vida,"Cuánto Gastar por Invitado: económico, estándar o premium | Hacé Cuent",src/content/comparaciones/cuanto-gastar-por-invitado.json
A-muerta,/comparar/pagar-contado-vs-cuotas,2026-07-03,22,0,0,0,0,finanzas,Pagar Contado vs Cuotas 2026: cuál conviene | Hacé Cuentas,src/content/comparaciones/pagar-contado-vs-cuotas.json
A-muerta,/comparar/pintar-vs-empapelar,2026-07-03,22,0,0,0,0,construccion,Pintar vs Empapelar 2026: qué conviene | Hacé Cuentas,src/content/comparaciones/pintar-vs-empapelar.json
A-muerta,/comparar/reparar-vs-reemplazar-electrodomestico,2026-07-03,22,0,0,0,0,hogar,¿Reparar o reemplazar un electrodoméstico? 2026 | Hacé Cuentas,src/content/comparaciones/reparar-vs-reemplazar-electrodomestico.json
A-muerta,/do/calculadora-bebidas-por-invitado-evento-republica-dominicana,2026-07-03,22,0,0,0,0,cocina,"Bebidas para evento RD 2026: litros por persona (30, 50, 100)",src/content/calcs-do/calculadora-bebidas-por-invitado-evento-republica-dominicana.json
A-muerta,/do/calculadora-carne-asado-kg-por-persona-republica-dominicana,2026-07-03,22,0,0,0,0,cocina,Calculadora de carne para parrillada por persona RD 2026,src/content/calcs-do/calculadora-carne-asado-kg-por-persona-republica-dominicana.json
A-muerta,/do/calculadora-cuanto-tarda-ver-serie-republica-dominicana,2026-07-03,22,0,0,0,0,entretenimiento,Calculadora de maratón de serie — tiempo para ver — RD 2026,src/content/calcs-do/calculadora-cuanto-tarda-ver-serie-republica-dominicana.json
A-muerta,/do/calculadora-dividir-gastos-cuenta-amigos-republica-dominicana,2026-07-03,22,0,0,0,0,finanzas,Calculadora para dividir gastos entre amigos — RD 2026,src/content/calcs-do/calculadora-dividir-gastos-cuenta-amigos-republica-dominicana.json
A-muerta,/do/calculadora-edad-perro-anos-humanos-republica-dominicana,2026-07-03,22,0,0,0,0,mascotas,Edad de perro en años humanos según tamaño — RD 2026,src/content/calcs-do/calculadora-edad-perro-anos-humanos-republica-dominicana.json
A-muerta,/do/conversor-tazas-a-gramos-cocina-republica-dominicana,2026-07-03,22,0,0,0,0,cocina,"Tazas a gramos: tabla de conversión por ingrediente, RD 2026",src/content/calcs-do/conversor-tazas-a-gramos-cocina-republica-dominicana.json
A-muerta,/ec/calculadora-bebidas-por-invitado-evento-ecuador,2026-07-03,22,0,0,0,0,cocina,"Calcular Bebida para Evento Ecuador 2026: Litros por Persona (30, 50, ",src/content/calcs-ec/calculadora-bebidas-por-invitado-evento-ecuador.json
A-muerta,/ec/calculadora-carne-asado-kg-por-persona-ecuador,2026-07-03,22,0,0,0,0,cocina,Calculadora de carne para parrillada por persona Ecuador 2026,src/content/calcs-ec/calculadora-carne-asado-kg-por-persona-ecuador.json
A-muerta,/ec/calculadora-cuanto-tarda-ver-serie-ecuador,2026-07-03,22,0,0,0,0,entretenimiento,"Calculadora Maratón de Serie: Ecuador 2026, Tiempo para Ver",src/content/calcs-ec/calculadora-cuanto-tarda-ver-serie-ecuador.json
A-muerta,/ec/calculadora-edad-perro-anos-humanos-ecuador,2026-07-03,22,0,0,0,0,mascotas,Edad de Perro en Años Humanos según Tamaño — Ecuador 2026 | Hacé Cuent,src/content/calcs-ec/calculadora-edad-perro-anos-humanos-ecuador.json
A-muerta,/es/calculadora-edad-perro-anos-humanos-espana,2026-07-03,22,0,0,0,0,mascotas,Edad de perro en años humanos según el tamaño — España 2026,src/content/calcs-es/calculadora-edad-perro-anos-humanos-espana.json
