slug,locale,silo,title,scenarios,variables,sources,publishers,faq,routes,depthScore,depthPercentile,peerHubs,lastReviewed
"cl/dinero/uf-utm-y-dolar-hoy","es-CL","dinero","¿Cuánto vale hoy la UF, la UTM y el dólar?","4","3","5","4","11","3","34","8","25","2026-07-28"
"cl/hogar","es-CL","hogar","Hogar","14","50","28","14","37","3","147","43","7","2026-08-31"
"cl/hogar/arrendar-o-comprar","es-CL","hogar","¿Me conviene seguir arrendando o comprar?","4","12","9","9","12","4","52","52","25","2026-07-28"
"cl/hogar/comprar-casa-con-credito","es-CL","hogar","¿Cuánto necesito realmente para comprar esta casa?","5","19","10","7","13","9","68","100","25","2026-07-28"
"cl/hogar/cuentas-de-la-casa","es-CL","hogar","Descubrí por quésubieron tus cuentasy cómo bajarlas.","5","19","9","7","12","6","63","92","25","2026-07-28"
"cl/impuestos","es-CL","impuestos","Impuestos","17","46","27","11","43","4","148","57","7","2026-08-31"
"cl/impuestos/cobre-y-finanzas-publicas","es-CL","impuestos","¿Cómo impacta el precio del cobre en los ingresos fiscales?","1","7","5","5","7","1","27","4","25","2026-08-16"
"cl/impuestos/impuestos-de-mi-empresa","es-CL","impuestos","Separá lo que gana tu empresa de lo que tiene que pagar.","6","13","7","4","12","6","55","60","25","2026-07-28"
"cl/impuestos/impuestos-de-mi-propiedad","es-CL","impuestos","¿Qué impuestos pago por tener, vender o heredar una propiedad?","5","17","8","4","12","5","58","76","25","2026-07-28"
"cl/impuestos/operacion-renta","es-CL","impuestos","¿Me devuelven o tengo que pagar en la Operación Renta?","5","9","7","4","12","4","47","44","25","2026-08-16"
"cl/trabajo","es-CL","trabajo","Trabajo","29","52","46","13","85","7","219","86","7","2026-08-31"
"cl/trabajo/costo-de-contratar","es-CL","trabajo","¿Cuánto me cuesta realmente contratar a alguien?","4","6","7","4","12","4","42","24","25","2026-07-28"
"cl/trabajo/gratificacion-y-aguinaldo","es-CL","trabajo","¿Cuánta gratificación y aguinaldo me corresponden?","4","9","6","5","12","3","42","24","25","2026-07-28"
"cl/trabajo/horas-extra-y-recargos","es-CL","trabajo","¿Cuánto me tienen que pagar de más este mes?","5","11","7","5","12","5","50","48","25","2026-08-16"
"cl/trabajo/licencias-y-permisos","es-CL","trabajo","Me enfermé o nació mi guagua: ¿cuánto cobro y por cuánto tiempo?","5","5","7","5","12","3","42","24","25","2026-07-28"
"cl/trabajo/me-quedo-sin-trabajo","es-CL","trabajo","Me quedé sin trabajo: ¿cuánta plata me corresponde?","4","8","6","5","12","6","44","32","25","2026-08-16"
"cl/trabajo/sueldo-liquido","es-CL","trabajo","¿Cuánto me queda líquido del sueldo bruto?","4","7","7","6","13","7","46","40","25","2026-08-16"
"cl/trabajo/trabajo-a-honorarios","es-CL","trabajo","¿Cuánto me queda emitiendo boletas de honorarios?","3","6","6","4","12","3","37","12","25","2026-08-16"
"cl/vida","es-CL","vida","Vida","24","70","41","23","62","5","215","71","7","2026-08-31"
"cl/vida/bonos-y-beneficios-del-estado","es-CL","vida","¿Qué bonos y beneficios del Estado me corresponden y de cuánto son?","5","10","10","6","13","7","57","68","25","2026-07-28"
"cl/vida/cuanto-cuesta-estudiar","es-CL","vida","¿Cuánto me va a costar la universidad y con qué deuda salgo?","5","18","8","7","13","6","60","84","25","2026-07-28"
"cl/vida/cuanto-cuesta-vivir","es-CL","vida","¿Cuánta plata necesito al mes para vivir en Chile?","6","18","8","7","12","8","64","96","25","2026-07-28"
"cl/vida/fonasa-o-isapre","es-CL","vida","Fonasa o Isapre: compará el costo completo.","4","8","7","6","12","5","45","36","25","2026-07-28"
"cl/vida/viajar-y-comprar-afuera","es-CL","vida","¿Conviene comprar afuera? Sumemos todo antes de decidir.","4","16","8","7","12","4","54","56","25","2026-07-28"
"co","es-CO","co","Entendé tu plata. Decidí con números.","115","223","211","53","334","33","918","100","6","2026-08-31"
"co/automotor","es-CO","automotor","Automotor","8","24","13","7","23","2","78","17","6","2026-08-31"
"co/automotor/costo-de-tener-carro","es-CO","automotor","¿Cuánto me cuesta de verdad tener este carro al año?","4","11","7","5","12","10","53","79","28","2026-07-28"
"co/automotor/multas-y-pico-y-placa","es-CO","automotor","¿Puedo sacar el carro hoy, y cuánto me cuesta si igual salgo?","4","13","6","4","11","4","47","50","28","2026-07-28"
"co/finanzas","es-CO","finanzas","Finanzas","28","53","46","23","68","6","217","50","6","2026-08-31"
"co/finanzas/comisiones-bancarias","es-CO","finanzas","¿Cuánto me está cobrando el banco por mover mi plata?","4","11","6","4","12","6","47","50","28","2026-07-28"
"co/finanzas/comprar-vivienda","es-CO","finanzas","¿Me alcanza para comprar y cuánto termino pagando?","5","8","9","7","13","8","54","89","28","2026-08-16"
"co/finanzas/creditos-y-tarjetas","es-CO","finanzas","¿Qué cuota voy a pagar y cuánto de eso es interés?","5","7","7","3","12","7","48","61","28","2026-07-28"
"co/finanzas/donde-pongo-mis-ahorros","es-CO","finanzas","¿Dónde pongo mis ahorros para que no se los coma la inflación?","6","6","9","6","12","9","55","93","28","2026-07-28"
"co/finanzas/pension","es-CO","finanzas","¿Cuándo me pensiono y con cuánto?","5","8","7","5","12","7","49","71","28","2026-07-28"
"co/finanzas/vuelos-millas-y-tiempo","es-CO","finanzas","¿Cuánto cuesta el vuelo y cuánto valen mis millas?","3","13","8","8","7","3","45","39","28","2026-08-16"
"co/impuestos","es-CO","impuestos","Impuestos","29","49","59","11","84","7","242","83","6","2026-08-31"
"co/impuestos/impuestos-al-consumo","es-CO","impuestos","¿Cuánto impuesto viene metido en lo que estoy comprando?","5","9","10","3","12","8","57","100","28","2026-07-28"
"co/impuestos/impuestos-de-mi-negocio","es-CO","impuestos","Entendé cuántodebe reservar tunegocio.","4","6","10","4","13","8","52","75","28","2026-08-16"
"co/impuestos/patrimonio-y-herencia","es-CO","impuestos","Entendé cuánto pagás por tu patrimonio o una herencia.","4","6","8","3","12","5","45","39","28","2026-07-28"
"co/impuestos/predial-y-avaluo","es-CO","impuestos","¿Cuánto cuesta al año tener este inmueble?","4","8","6","5","11","4","42","11","28","2026-07-28"
"co/impuestos/renta-personas","es-CO","impuestos","Primero, si declarás. Después, cuánto pagarías.","4","7","7","2","12","15","54","89","28","2026-08-16"
"co/impuestos/retencion-en-la-fuente","es-CO","impuestos","Sabé cuánto te retienen antes de recibir el pago.","4","6","9","3","12","6","48","61","28","2026-07-28"
"co/impuestos/sanciones-dian","es-CO","impuestos","Me atrasé con la DIAN: ¿cuánto me va a costar ponerme al día?","4","7","9","4","12","5","48","61","28","2026-08-17"
"co/trabajo","es-CO","trabajo","Trabajo","28","43","57","12","91","7","230","67","6","2026-08-31"
"co/trabajo/costo-de-contratar","es-CO","trabajo","El salario acordado no es lo que cuesta el empleado.","4","7","8","4","14","8","49","71","28","2026-08-16"
"co/trabajo/horas-extras-y-recargos","es-CO","trabajo","Calculá cuántovale cada hora quetrabajaste de más.","4","4","8","3","13","5","43","18","28","2026-08-16"
"co/trabajo/incapacidad-y-licencias","es-CO","trabajo","Estoy incapacitado o de licencia: ¿quién me paga y cuánto?","4","7","7","5","13","5","44","25","28","2026-07-28"
"co/trabajo/independiente-y-honorarios","es-CO","trabajo","Trabajo por prestación de servicios: ¿cuánto pago de seguridad social y cuánto me queda?","4","6","7","4","12","6","44","25","28","2026-07-28"
"co/trabajo/liquidacion-laboral","es-CO","trabajo","Que el total no esconda lo que te corresponde.","4","7","10","3","14","12","57","100","28","2026-08-16"
"co/trabajo/que-hago-con-mis-cesantias","es-CO","trabajo","¿Retiro, traslado o dejo quietas mis cesantías?","4","7","7","5","12","4","43","18","28","2026-07-28"
"co/trabajo/sueldo-neto","es-CO","trabajo","Pasá de salariobruto a lo querealmente recibís.","4","5","10","5","13","11","54","89","28","2026-08-16"
"co/vida","es-CO","vida","Vida","22","54","36","19","68","6","186","33","6","2026-08-31"
"co/vida/arriendo","es-CO","vida","¿Cuánto te pueden subir el arriendo y cuánto deberías estar pagando?","4","8","6","4","12","4","42","11","28","2026-07-28"
"co/vida/divorcio-y-cuota-alimentaria","es-CO","vida","Nos separamos: cómo se reparte todo y cuánto queda la cuota.","4","9","7","3","12","4","45","39","28","2026-07-28"
"co/vida/documentos-y-pasaporte","es-CO","vida","¿Cuánto cuesta y cuánto dura mi documento?","2","7","4","4","7","2","28","4","28","2026-08-16"
"co/vida/estudiar-en-colombia","es-CO","vida","¿Con qué puntaje entro, cuánto cuesta la carrera y cómo la pago?","4","11","7","6","12","6","49","71","28","2026-07-28"
"co/vida/presupuesto-del-hogar","es-CO","vida","¿Tu ingreso alcanza para el hogar que tenés?","4","9","6","5","12","7","46","43","28","2026-07-28"
"co/vida/recibos-de-servicios","es-CO","vida","Entendé por qué subió el recibo antes de recortar todo.","4","10","6","5","13","5","45","39","28","2026-08-07"
"cocina","es","cocina","La cantidad justa. Para la mesa que tenés.","36","54","31","24","94","8","206","50","30","2026-08-31"
"cocina/adaptar-una-receta","es","cocina","Que alcance justo. Sin cocinar de más ni quedarse corto.","3","9","3","2","12","11","42","35","211","2026-07-27"
"cocina/cafe","es","cocina","¿Cuánto café le pongo?","6","8","3","1","12","6","42","35","211","2026-07-27"
"cocina/cerveza-casera","es","cocina","Los números de tu cerveza casera","6","10","3","3","12","6","44","41","211","2026-07-27"
"cocina/coccion-de-carne","es","cocina","¿Cuánto tiempo va esta carne?","5","8","4","2","12","9","45","45","211","2026-07-27"
"cocina/masa-y-levadura","es","cocina","¿Cuánto tiene que leudar la masa?","4","8","4","4","12","5","39","25","211","2026-07-27"
"cocina/porciones","es","cocina","¿Cuánto arroz o pasta pongo por persona?","7","4","3","3","12","5","39","25","211","2026-07-27"
"cocina/tazas-y-gramos","es","cocina","¿Cuántos gramos es una taza?","4","4","6","6","12","9","43","38","211","2026-07-27"
"cocina/temperatura-del-horno","es","cocina","La temperatura correcta, sin adivinar la perilla.","1","3","5","5","10","3","28","1","211","2026-07-27"
"construccion","es","construccion","Materiales, mano de obra y margen. Todo entra en la cuenta.","36","105","54","31","122","10","305","73","30","2026-08-31"
"construccion/agua","es","construccion","Tanque, cañerías y termotanque: ¿qué capacidad necesito?","6","9","5","5","12","9","50","68","211","2026-07-27"
"construccion/aislacion","es","construccion","¿Cómo aíslo la casa del frío y el calor?","3","10","6","4","13","8","46","52","211","2026-07-27"
"construccion/costo-por-m2","es","construccion","Antes de construir,poné toda la obraen números.","1","6","5","5","11","9","37","15","211","2026-08-16"
"construccion/hormigon","es","construccion","Calculá el hormigóny comprá sólo loque necesitás.","5","12","5","4","12","12","54","81","211","2026-07-27"
"construccion/ladrillos","es","construccion","Contá paredes, no viajes al corralón.","4","7","5","5","12","7","42","35","211","2026-08-07"
"construccion/madera","es","construccion","Diseñá el muebley sabé cuántasplacas comprar.","6","8","4","4","12","10","48","60","211","2026-07-27"
"construccion/paneles-solares","es","construccion","¿Me conviene poner paneles solares?","1","11","8","8","13","5","44","41","211","2026-07-27"
"construccion/pintura","es","construccion","De las medidas a las latas que necesitás.","4","12","5","5","12","6","46","52","211","2026-07-27"
"construccion/pisos","es","construccion","Calculá cajas, no sólo metros cuadrados.","5","13","5","4","12","10","53","77","211","2026-07-27"
"construccion/techos","es","construccion","¿Cuánto material necesito para el techo y cuánto me sale?","1","17","6","5","13","5","46","52","211","2026-07-27"
"conversores","es","conversores","Convertí lo que necesitás, sin buscar la fórmula.","17","31","31","21","81","7","144","43","30","2026-08-31"
"conversores/longitud","es","conversores","Convertí una vez. Entendé todas las escalas.","1","5","3","3","10","17","40","27","211","2026-07-27"
"conversores/numeros-a-letras","es","conversores","Pasá números a letras sin dudar dónde va cada palabra.","4","4","5","4","12","4","36","11","211","2026-08-07"
"conversores/peso","es","conversores","Convertir kilos, libras y onzas","1","3","4","4","13","6","29","2","211","2026-08-16"
"conversores/talles","es","conversores","Tu talle no es una letra.Es una medida.","4","8","5","3","11","11","47","56","211","2026-08-04"
"conversores/temperatura","es","conversores","Una temperatura, en todas las escalas.","1","5","5","5","12","5","32","4","211","2026-07-27"
"conversores/tiempo","es","conversores","¿Cuánto es esto en otra unidad de tiempo?","5","3","5","5","12","6","39","25","211","2026-07-27"
"conversores/volumen","es","conversores","Convertir litros, galones y onzas","1","3","4","3","11","3","26","1","211","2026-07-27"
"do","es-DO","do","De tu nómina a tu próxima decisión.","34","65","42","19","97","12","239","100","4","2026-08-31"
"do/finanzas","es-DO","finanzas","Finanzas","10","26","14","11","29","3","87","50","4","2026-08-31"
"do/finanzas/ahorro-y-dolar","es-DO","finanzas","¿Tu plata rinde o sólo aguanta la inflación?","4","8","4","3","11","5","39","56","9","2026-07-28"
"do/finanzas/comprar-y-financiar-un-vehiculo","es-DO","finanzas","¿Cuánto cuesta importar y financiar el vehículo?","2","9","4","3","7","2","30","11","9","2026-08-16"
"do/finanzas/presupuesto-del-hogar","es-DO","finanzas","¿A dónde se te va el sueldo cada mes?","4","9","6","6","11","6","45","100","9","2026-07-28"
"do/impuestos","es-DO","impuestos","Impuestos","8","17","10","5","22","2","65","25","4","2026-08-31"
"do/impuestos/comprar-vivienda","es-DO","impuestos","La casa cuesta una cifra. Tener las llaves, un poco más.","4","9","5","4","11","6","43","78","9","2026-07-28"
"do/impuestos/negocio-dgii","es-DO","impuestos","Que la DGII no te agarre sin reserva.","4","8","5","3","11","8","44","89","9","2026-07-28"
"do/trabajo","es-DO","trabajo","Trabajo","16","22","18","8","46","4","104","75","4","2026-08-31"
"do/trabajo/liquidacion","es-DO","trabajo","Terminó tu contrato.Veamos qué debenpagarte.","4","6","4","2","12","5","37","44","9","2026-07-28"
"do/trabajo/regalia-y-bonificacion","es-DO","trabajo","Lo que cobrás además del sueldo: regalía y bonificación.","4","7","4","2","11","4","37","44","9","2026-08-16"
"do/trabajo/sueldo-neto","es-DO","trabajo","Del salario acordado a lo que llega a tu cuenta.","4","4","5","4","12","10","42","67","9","2026-08-16"
"do/trabajo/tss-aportes-y-coberturas","es-DO","trabajo","La TSS: cuánto se aporta por vos y qué te devuelve.","4","5","5","5","11","4","37","44","9","2026-07-28"
"ec","es-EC","ec","Tu sueldo, tus impuestos y tu casa.","68","121","85","39","175","22","459","100","8","2026-08-31"
"ec/auto","es-EC","auto","Auto","4","8","6","6","12","1","39","13","8","2026-08-31"
"ec/auto/costos-del-auto","es-EC","auto","¿Cuánto te cuesta al año tener el auto al día en el Ecuador?","4","8","6","6","12","6","44","60","15","2026-07-28"
"ec/estudio","es-EC","estudio","Estudio","5","10","6","6","12","1","43","38","8","2026-08-31"
"ec/estudio/entrar-y-pagar-la-universidad","es-EC","estudio","¿Con qué nota entras a la universidad en el Ecuador, y cuánto te va a costar la carrera?","5","10","6","6","12","4","46","87","15","2026-07-28"
"ec/finanzas-personales","es-EC","finanzas-personales","Finanzas personales","6","7","7","6","12","1","44","50","8","2026-08-31"
"ec/finanzas-personales/creditos-y-ahorro","es-EC","finanzas-personales","Préstamo quirografario IESS y créditos: ¿cuánto pagás de verdad?","6","7","7","6","12","7","50","100","15","2026-07-28"
"ec/hogar","es-EC","hogar","Hogar","7","19","14","12","19","2","73","63","8","2026-08-31"
"ec/hogar/comida-salud-y-construccion","es-EC","hogar","¿Cuánto necesito para mi salud, cocina o construcción?","3","11","7","7","7","3","41","33","15","2026-08-16"
"ec/hogar/presupuesto-mensual","es-EC","hogar","¿Cuánto necesitas al mes para vivir en el Ecuador, y te alcanza con lo que ganas?","4","8","7","6","12","6","46","87","15","2026-07-28"
"ec/impuestos","es-EC","impuestos","Impuestos","18","36","23","8","48","4","132","75","8","2026-08-31"
"ec/impuestos/impuesto-a-la-renta","es-EC","impuestos","Tu impuesto no es un porcentaje suelto.","4","6","6","3","12","5","41","33","15","2026-08-16"
"ec/impuestos/impuestos-del-inmueble","es-EC","impuestos","Una propiedad. Cuatro momentos. Cuatro cuentas distintas.","4","10","5","4","12","4","42","40","15","2026-07-28"
"ec/impuestos/iva-y-consumo","es-EC","impuestos","¿Cuánto impuesto se le suma a lo que compras, importas o envías al exterior?","6","10","6","2","12","6","50","100","15","2026-07-28"
"ec/impuestos/regimen-rimpe-y-negocio","es-EC","impuestos","Voy a formalizar mi negocio: ¿qué régimen me toca y cuánto voy a pagar al año?","4","10","6","4","12","5","45","73","15","2026-07-28"
"ec/trabajo","es-EC","trabajo","Trabajo","24","31","23","8","60","5","140","88","8","2026-08-31"
"ec/trabajo/decimos-y-fondos-de-reserva","es-EC","trabajo","Décimos, fondos de reserva y vacaciones: cuánto te toca y cuándo lo cobras.","5","5","4","2","12","4","37","13","15","2026-08-16"
"ec/trabajo/iess-aportes-y-jubilacion","es-EC","trabajo","Lo que aportás hoy define lo que podés cobrar mañana.","6","7","5","3","12","6","45","73","15","2026-07-28"
"ec/trabajo/licencias-y-pension-alimenticia","es-EC","trabajo","Un cambio familiar. Cuatro cuentas que necesitás entender.","4","6","5","5","12","4","38","20","15","2026-07-28"
"ec/trabajo/liquidacion-y-despido","es-EC","trabajo","Salgo de la empresa: ¿cuánto me tienen que liquidar?","4","6","4","3","12","4","36","7","15","2026-08-16"
"ec/trabajo/sueldo-neto","es-EC","trabajo","Del sueldo acordado a lo que llega a tu cuenta.","5","7","5","4","12","7","44","60","15","2026-08-16"
"ec/tramites","es-EC","tramites","Trámites","4","10","6","6","12","1","41","25","8","2026-08-31"
"ec/tramites/tramites-y-costos-legales","es-EC","tramites","¿Cuánto te va a costar ese trámite, esa firma en la notaría o esa multa?","4","10","6","6","12","4","44","60","15","2026-07-28"
"embarazo","es","embarazo","Ubicate en el embarazo. Entendé lo que viene.","11","21","17","9","32","3","90","20","30","2026-08-31"
"embarazo/dias-fertiles","es","embarazo","¿Cuáles son mis días fértiles?","4","8","7","6","11","9","49","63","211","2026-07-27"
"embarazo/fecha-de-parto","es","embarazo","¿Cuándo nace mi bebé?","4","8","6","4","12","2","40","27","211","2026-07-27"
"embarazo/semanas","es","embarazo","Tu embarazo,semana asemana.","3","5","4","4","9","10","38","19","211","2026-08-04"
"en","en","en","Don't just calculate. Know what to do next.","314","712","463","239","734","76","2352","100","15","2026-08-31"
"en/cars","en","cars","Cars","17","42","53","14","41","4","196","67","15","2026-08-31"
"en/cars/car-value-and-ownership","en","cars","What is this car worth now, and what does owning it cost me?","4","7","5","5","11","4","39","5","62","2026-07-28"
"en/cars/fuel-and-trip-cost","en","cars","How far will a tank get me, and what will this drive cost?","4","12","5","5","11","5","45","29","62","2026-07-28"
"en/cars/tires-brakes-and-specs","en","cars","What do the numbers on my car’s stickers actually mean?","6","16","5","4","12","6","54","68","62","2026-07-28"
"en/cars/titles-registration-and-transfer","en","cars","What will it cost to title, register or transfer my car?","3","7","38","4","7","3","99","98","62","2026-08-16"
"en/cooking","en","cooking","Cooking","17","34","24","16","48","4","130","33","15","2026-08-31"
"en/cooking/baking-ratios-and-conversions","en","cooking","How do I scale, measure and convert this recipe?","4","9","6","5","12","8","47","47","62","2026-07-28"
"en/cooking/brewing-and-infusions","en","cooking","How strong will it come out, and how long does it take?","4","11","6","6","12","6","47","47","62","2026-07-28"
"en/cooking/drinks-for-a-party","en","cooking","How much do I need to buy for the bar?","4","8","6","5","12","3","41","8","62","2026-07-28"
"en/cooking/how-much-food-per-guest","en","cooking","How much food do I need for my guests?","5","6","6","6","12","9","47","47","62","2026-07-28"
"en/family","en","family","Family","8","9","18","17","18","2","73","7","15","2026-08-31"
"en/family/baby-and-child-milestones","en","family","Is my child on track for their age?","5","4","6","6","11","8","44","19","62","2026-07-28"
"en/family/events-and-family-transitions","en","family","What should I budget for this family event or change?","3","5","12","11","7","3","45","29","62","2026-08-16"
"en/fitness","en","fitness","Fitness & Sports","21","46","20","16","48","4","142","47","15","2026-08-31"
"en/fitness/competition-and-rankings","en","fitness","Where do I stand in the standings?","4","13","5","5","12","4","45","29","62","2026-07-28"
"en/fitness/endurance-thresholds","en","fitness","What are my training zones and what do I eat during the race?","7","14","5","4","12","7","55","73","62","2026-07-28"
"en/fitness/running-race-plan","en","fitness","How do I train for and pace this race?","6","11","5","5","12","8","51","63","62","2026-07-28"
"en/fitness/strength-and-training-volume","en","fitness","How much weight, how many sets, how often?","4","8","5","5","12","5","41","8","62","2026-07-28"
"en/garden","en","garden","Garden","13","24","15","10","34","3","93","20","15","2026-08-31"
"en/garden/planting-and-spacing","en","garden","How many plants fit, how far apart, and how long until they sprout?","5","9","5","5","11","5","44","19","62","2026-07-28"
"en/garden/watering-and-feeding","en","garden","How much water, fertilizer and amendment does this garden need?","5","11","5","5","11","5","46","37","62","2026-07-28"
"en/garden/when-to-plant","en","garden","What can I plant this month, and when do I prune?","3","4","5","5","12","4","34","2","62","2026-07-28"
"en/health","en","health","Health","30","63","43","18","60","5","224","80","15","2026-08-31"
"en/health/blood-test-numbers","en","health","Are my numbers normal?","6","15","8","7","12","12","65","90","62","2026-07-28"
"en/health/body-weight","en","health","Am I at a healthy weight?","6","10","10","4","12","12","64","87","62","2026-07-28"
"en/health/calories-and-macros","en","health","How many calories and macros should I eat?","7","18","10","8","12","18","80","97","62","2026-07-28"
"en/health/exercise-and-training","en","health","How hard should I train, and what do I need to drink?","5","10","8","3","12","7","53","66","62","2026-07-28"
"en/health/fertility-and-pregnancy","en","health","When am I fertile, and when is the baby due?","6","10","7","5","12","14","60","77","62","2026-07-28"
"en/home","en","home","Home & Building","28","61","36","30","72","6","205","73","15","2026-08-31"
"en/home/carpentry-and-stairs","en","home","How many boards, cuts, hinges and steps?","5","13","6","6","12","5","50","58","62","2026-07-28"
"en/home/concrete-and-structure","en","home","How much concrete, steel and brick does this take?","5","9","6","6","12","5","46","37","62","2026-07-28"
"en/home/electrical-and-solar","en","home","What wire gauge, what breaker, and how many solar panels?","4","11","6","5","12","4","45","29","62","2026-07-28"
"en/home/hvac-sizing","en","home","What size AC, heater and vent fan does this room need?","4","10","6","6","12","4","44","19","62","2026-07-28"
"en/home/paint-and-tile","en","home","How much paint, tile and plaster do I buy?","5","9","6","6","12","6","47","47","62","2026-07-28"
"en/home/water-and-plumbing","en","home","What size water heater, tank, pipe and pump do I need?","5","9","6","6","12","5","46","37","62","2026-07-28"
"en/life","en","life","Everyday Life","25","57","37","29","56","5","196","67","15","2026-08-31"
"en/life/carbon-footprint","en","life","How big is this carbon footprint, and what would offset it?","5","8","5","5","11","5","43","13","62","2026-07-28"
"en/life/dates-and-hours","en","life","How much time is that, exactly?","4","11","5","4","11","4","43","13","62","2026-07-28"
"en/life/home-energy-savings","en","life","What is this costing me, and what would I save by changing it?","5","11","5","4","11","5","46","37","62","2026-07-28"
"en/life/identity-permits-and-applications","en","life","What will this permit or application cost?","6","9","17","14","12","6","71","92","62","2026-08-16"
"en/life/party-and-event-planning","en","life","What will this event cost, and how do I fill the time?","5","18","5","4","11","5","53","66","62","2026-07-28"
"en/math","en","math","Math","31","26","31","11","60","5","165","53","15","2026-08-31"
"en/math/algebra","en","math","How do I solve this equation?","7","8","6","3","12","7","51","63","62","2026-07-28"
"en/math/geometry-trigonometry","en","math","What is the area, the angle or the distance?","5","6","6","4","12","5","43","13","62","2026-07-28"
"en/math/percentages","en","math","How do I work out this percentage?","7","5","6","4","12","5","46","37","62","2026-07-28"
"en/math/statistics","en","math","What do these numbers actually say?","5","5","6","4","12","7","44","19","62","2026-07-28"
"en/math/unit-converter","en","math","How do I convert this unit?","7","2","7","6","12","8","48","53","62","2026-07-28"
